tilt : 682, real_tilt ; 59, pan : 682, real_pan : 1
tilt : 682, real_tilt ; 192, pan : 698, real_pan : 67
tilt : 682, real_tilt ; 324, pan : 714, real_pan : 203
tilt : 682, real_tilt ; 457, pan : 730, real_pan : 333
tilt : 682, real_tilt ; 588, pan : 746, real_pan : 467
tilt : 682, real_tilt ; 657, pan : 762, real_pan : 602
tilt : 682, real_tilt ; 676, pan : 778, real_pan : 716
tilt : 682, real_tilt ; 681, pan : 794, real_pan : 761
tilt : 682, real_tilt ; 681, pan : 810, real_pan : 782
tilt : 682, real_tilt ; 681, pan : 826, real_pan : 800
tilt : 682, real_tilt ; 681, pan : 842, real_pan : 815
tilt : 682, real_tilt ; 681, pan : 858, real_pan : 832
tilt : 682, real_tilt ; 681, pan : 874, real_pan : 848
tilt : 682, real_tilt ; 681, pan : 890, real_pan : 865
tilt : 682, real_tilt ; 681, pan : 906, real_pan : 880
tilt : 682, real_tilt ; 681, pan : 922, real_pan : 896
tilt : 682, real_tilt ; 681, pan : 938, real_pan : 913
tilt : 682, real_tilt ; 681, pan : 954, real_pan : 929
tilt : 682, real_tilt ; 681, pan : 970, real_pan : 944
tilt : 682, real_tilt ; 681, pan : 986, real_pan : 961
tilt : 682, real_tilt ; 681, pan : 1002, real_pan : 977
tilt : 682, real_tilt ; 681, pan : 1018, real_pan : 992
tilt : 682, real_tilt ; 681, pan : 1034, real_pan : 1009
tilt : 682, real_tilt ; 681, pan : 1050, real_pan : 1024
tilt : 682, real_tilt ; 681, pan : 1066, real_pan : 1041
tilt : 682, real_tilt ; 681, pan : 1082, real_pan : 1057
tilt : 682, real_tilt ; 681, pan : 1098, real_pan : 1073
tilt : 682, real_tilt ; 681, pan : 1114, real_pan : 1089
tilt : 682, real_tilt ; 681, pan : 1130, real_pan : 1105
tilt : 682, real_tilt ; 680, pan : 1146, real_pan : 1120
tilt : 682, real_tilt ; 681, pan : 1162, real_pan : 1137
tilt : 682, real_tilt ; 681, pan : 1178, real_pan : 1153
tilt : 682, real_tilt ; 681, pan : 1194, real_pan : 1168
tilt : 682, real_tilt ; 681, pan : 1210, real_pan : 1184
tilt : 682, real_tilt ; 681, pan : 1226, real_pan : 1201
tilt : 682, real_tilt ; 681, pan : 1242, real_pan : 1216
tilt : 682, real_tilt ; 681, pan : 1258, real_pan : 1232
tilt : 682, real_tilt ; 681, pan : 1274, real_pan : 1248
tilt : 682, real_tilt ; 681, pan : 1290, real_pan : 1265
tilt : 682, real_tilt ; 681, pan : 1306, real_pan : 1281
tilt : 682, real_tilt ; 681, pan : 1322, real_pan : 1296
tilt : 682, real_tilt ; 681, pan : 1338, real_pan : 1313
tilt : 682, real_tilt ; 681, pan : 1354, real_pan : 1328
tilt : 698, real_tilt ; 690, pan : 682, real_pan : 1352
tilt : 698, real_tilt ; 696, pan : 698, real_pan : 1283
tilt : 698, real_tilt ; 697, pan : 714, real_pan : 1149
tilt : 698, real_tilt ; 697, pan : 730, real_pan : 1014
tilt : 698, real_tilt ; 697, pan : 746, real_pan : 883
tilt : 698, real_tilt ; 697, pan : 762, real_pan : 781
tilt : 698, real_tilt ; 697, pan : 778, real_pan : 762
tilt : 698, real_tilt ; 697, pan : 794, real_pan : 773
tilt : 698, real_tilt ; 697, pan : 810, real_pan : 787
tilt : 698, real_tilt ; 697, pan : 826, real_pan : 799
tilt : 698, real_tilt ; 697, pan : 842, real_pan : 818
tilt : 698, real_tilt ; 697, pan : 858, real_pan : 834
tilt : 698, real_tilt ; 697, pan : 874, real_pan : 848
tilt : 698, real_tilt ; 697, pan : 890, real_pan : 866
tilt : 698, real_tilt ; 697, pan : 906, real_pan : 882
tilt : 698, real_tilt ; 697, pan : 922, real_pan : 896
tilt : 698, real_tilt ; 697, pan : 938, real_pan : 913
tilt : 698, real_tilt ; 697, pan : 954, real_pan : 929
tilt : 698, real_tilt ; 697, pan : 970, real_pan : 946
tilt : 698, real_tilt ; 697, pan : 986, real_pan : 961
tilt : 698, real_tilt ; 697, pan : 1002, real_pan : 978
tilt : 698, real_tilt ; 697, pan : 1018, real_pan : 992
tilt : 698, real_tilt ; 697, pan : 1034, real_pan : 1009
tilt : 698, real_tilt ; 696, pan : 1050, real_pan : 1025
tilt : 698, real_tilt ; 697, pan : 1066, real_pan : 1041
tilt : 698, real_tilt ; 697, pan : 1082, real_pan : 1057
tilt : 698, real_tilt ; 697, pan : 1098, real_pan : 1073
tilt : 698, real_tilt ; 697, pan : 1114, real_pan : 1089
tilt : 698, real_tilt ; 697, pan : 1130, real_pan : 1105
tilt : 698, real_tilt ; 697, pan : 1146, real_pan : 1121
tilt : 698, real_tilt ; 697, pan : 1162, real_pan : 1137
tilt : 698, real_tilt ; 697, pan : 1178, real_pan : 1153
tilt : 698, real_tilt ; 697, pan : 1194, real_pan : 1169
tilt : 698, real_tilt ; 697, pan : 1210, real_pan : 1184
tilt : 698, real_tilt ; 696, pan : 1226, real_pan : 1201
tilt : 698, real_tilt ; 697, pan : 1242, real_pan : 1217
tilt : 698, real_tilt ; 697, pan : 1258, real_pan : 1233
tilt : 698, real_tilt ; 697, pan : 1274, real_pan : 1249
tilt : 698, real_tilt ; 697, pan : 1290, real_pan : 1265
tilt : 698, real_tilt ; 697, pan : 1306, real_pan : 1281
tilt : 698, real_tilt ; 697, pan : 1322, real_pan : 1296
tilt : 698, real_tilt ; 697, pan : 1338, real_pan : 1312
tilt : 698, real_tilt ; 697, pan : 1354, real_pan : 1329
