tilt : 682, real_tilt ; 679, pan : 682, real_pan : 679
tilt : 682, real_tilt ; 679, pan : 698, real_pan : 697
tilt : 682, real_tilt ; 679, pan : 714, real_pan : 713
tilt : 682, real_tilt ; 679, pan : 730, real_pan : 727
tilt : 682, real_tilt ; 679, pan : 746, real_pan : 743
tilt : 682, real_tilt ; 679, pan : 762, real_pan : 762
tilt : 682, real_tilt ; 679, pan : 778, real_pan : 775
tilt : 682, real_tilt ; 679, pan : 794, real_pan : 793
tilt : 682, real_tilt ; 679, pan : 810, real_pan : 810
tilt : 682, real_tilt ; 679, pan : 826, real_pan : 826
tilt : 682, real_tilt ; 679, pan : 842, real_pan : 842
tilt : 682, real_tilt ; 679, pan : 858, real_pan : 857
tilt : 682, real_tilt ; 679, pan : 874, real_pan : 873
tilt : 682, real_tilt ; 679, pan : 890, real_pan : 888
tilt : 682, real_tilt ; 679, pan : 906, real_pan : 904
tilt : 682, real_tilt ; 679, pan : 922, real_pan : 921
tilt : 682, real_tilt ; 679, pan : 938, real_pan : 937
tilt : 682, real_tilt ; 679, pan : 954, real_pan : 952
tilt : 682, real_tilt ; 679, pan : 970, real_pan : 968
tilt : 682, real_tilt ; 679, pan : 986, real_pan : 984
tilt : 682, real_tilt ; 679, pan : 1002, real_pan : 1000
tilt : 682, real_tilt ; 679, pan : 1018, real_pan : 1016
tilt : 682, real_tilt ; 679, pan : 1034, real_pan : 1032
tilt : 682, real_tilt ; 679, pan : 1050, real_pan : 1048
tilt : 682, real_tilt ; 679, pan : 1066, real_pan : 1063
tilt : 682, real_tilt ; 679, pan : 1082, real_pan : 1080
tilt : 682, real_tilt ; 679, pan : 1098, real_pan : 1096
tilt : 682, real_tilt ; 679, pan : 1114, real_pan : 1112
tilt : 682, real_tilt ; 679, pan : 1130, real_pan : 1127
tilt : 682, real_tilt ; 679, pan : 1146, real_pan : 1144
tilt : 682, real_tilt ; 679, pan : 1162, real_pan : 1159
tilt : 682, real_tilt ; 679, pan : 1178, real_pan : 1176
tilt : 682, real_tilt ; 679, pan : 1194, real_pan : 1192
tilt : 682, real_tilt ; 679, pan : 1210, real_pan : 1208
tilt : 682, real_tilt ; 679, pan : 1226, real_pan : 1224
tilt : 682, real_tilt ; 679, pan : 1242, real_pan : 1240
tilt : 682, real_tilt ; 679, pan : 1258, real_pan : 1256
tilt : 682, real_tilt ; 679, pan : 1274, real_pan : 1272
tilt : 682, real_tilt ; 679, pan : 1290, real_pan : 1288
tilt : 682, real_tilt ; 679, pan : 1306, real_pan : 1303
tilt : 682, real_tilt ; 679, pan : 1322, real_pan : 1320
tilt : 682, real_tilt ; 679, pan : 1338, real_pan : 1335
tilt : 682, real_tilt ; 679, pan : 1354, real_pan : 1352
tilt : 698, real_tilt ; 696, pan : 682, real_pan : 684
tilt : 698, real_tilt ; 696, pan : 698, real_pan : 697
tilt : 698, real_tilt ; 696, pan : 714, real_pan : 714
tilt : 698, real_tilt ; 696, pan : 730, real_pan : 730
tilt : 698, real_tilt ; 696, pan : 746, real_pan : 743
tilt : 698, real_tilt ; 696, pan : 762, real_pan : 762
tilt : 698, real_tilt ; 696, pan : 778, real_pan : 775
tilt : 698, real_tilt ; 696, pan : 794, real_pan : 794
tilt : 698, real_tilt ; 696, pan : 810, real_pan : 810
tilt : 698, real_tilt ; 696, pan : 826, real_pan : 826
tilt : 698, real_tilt ; 696, pan : 842, real_pan : 839
tilt : 698, real_tilt ; 696, pan : 858, real_pan : 855
tilt : 698, real_tilt ; 696, pan : 874, real_pan : 873
tilt : 698, real_tilt ; 696, pan : 890, real_pan : 889
tilt : 698, real_tilt ; 696, pan : 906, real_pan : 906
tilt : 698, real_tilt ; 696, pan : 922, real_pan : 922
tilt : 698, real_tilt ; 696, pan : 938, real_pan : 937
tilt : 698, real_tilt ; 696, pan : 954, real_pan : 953
tilt : 698, real_tilt ; 696, pan : 970, real_pan : 969
tilt : 698, real_tilt ; 696, pan : 986, real_pan : 985
tilt : 698, real_tilt ; 696, pan : 1002, real_pan : 1000
tilt : 698, real_tilt ; 696, pan : 1018, real_pan : 1016
tilt : 698, real_tilt ; 696, pan : 1034, real_pan : 1032
tilt : 698, real_tilt ; 696, pan : 1050, real_pan : 1048
tilt : 698, real_tilt ; 696, pan : 1066, real_pan : 1064
tilt : 698, real_tilt ; 696, pan : 1082, real_pan : 1080
tilt : 698, real_tilt ; 696, pan : 1098, real_pan : 1096
tilt : 698, real_tilt ; 696, pan : 1114, real_pan : 1112
tilt : 698, real_tilt ; 696, pan : 1130, real_pan : 1128
tilt : 698, real_tilt ; 696, pan : 1146, real_pan : 1143
tilt : 698, real_tilt ; 696, pan : 1162, real_pan : 1160
tilt : 698, real_tilt ; 696, pan : 1178, real_pan : 1176
tilt : 698, real_tilt ; 696, pan : 1194, real_pan : 1191
tilt : 698, real_tilt ; 696, pan : 1210, real_pan : 1208
tilt : 698, real_tilt ; 696, pan : 1226, real_pan : 1224
tilt : 698, real_tilt ; 696, pan : 1242, real_pan : 1240
tilt : 698, real_tilt ; 696, pan : 1258, real_pan : 1255
tilt : 698, real_tilt ; 696, pan : 1274, real_pan : 1272
tilt : 698, real_tilt ; 696, pan : 1290, real_pan : 1288
tilt : 698, real_tilt ; 696, pan : 1306, real_pan : 1304
tilt : 698, real_tilt ; 696, pan : 1322, real_pan : 1320
tilt : 698, real_tilt ; 696, pan : 1338, real_pan : 1336
tilt : 698, real_tilt ; 696, pan : 1354, real_pan : 1351
tilt : 714, real_tilt ; 712, pan : 682, real_pan : 684
tilt : 714, real_tilt ; 712, pan : 698, real_pan : 697
tilt : 714, real_tilt ; 712, pan : 714, real_pan : 714
tilt : 714, real_tilt ; 712, pan : 730, real_pan : 730
tilt : 714, real_tilt ; 712, pan : 746, real_pan : 747
tilt : 714, real_tilt ; 712, pan : 762, real_pan : 762
tilt : 714, real_tilt ; 712, pan : 778, real_pan : 778
tilt : 714, real_tilt ; 712, pan : 794, real_pan : 794
tilt : 714, real_tilt ; 712, pan : 810, real_pan : 811
tilt : 714, real_tilt ; 712, pan : 826, real_pan : 826
tilt : 714, real_tilt ; 712, pan : 842, real_pan : 839
tilt : 714, real_tilt ; 712, pan : 858, real_pan : 858
tilt : 714, real_tilt ; 712, pan : 874, real_pan : 874
tilt : 714, real_tilt ; 712, pan : 890, real_pan : 889
tilt : 714, real_tilt ; 712, pan : 906, real_pan : 906
